Deleted	Dup	Name	Description	Topic	Ring	Category	Strategic Topic
		#BeyondBudgeting	Alternative Agile Management concept avoiding traditional budgets and incentives.	Business Agility	observe	Methods & Organisationals	Agile Methoden
		#NoEstimates	Apply and train	Business Agility	work	Methods & Organisationals	Agile Methoden
		#NoProjects	Distinguish between Product development and Software Projects.	Business Agility	build-up	Methods & Organisationals	Agile Methoden
		#Valuefirst	Apply in daily work.	Business Agility	evaluate	Methods & Organisationals	Agile Methoden
		12-factor	"https://12factor.net, trying to follow the paradigm behind this"	Cloud Native Development	work	Concepts (Technical)	Cloud
		3D Objekterkennung	How and with which tools?	Machine Learning	evaluate	Concepts (Technical)	ML & AI
		4D Objekterkennung	4D=3D+time. How and with which tools?	Machine Learning	evaluate	Concepts (Technical)	ML & AI
		A/B Testing	"A/B testing (bucket tests or split-run testing) is a randomized experiment with two variants, A and B"	Mobile Apps	work	Methods & Organisationals	Testing
		Agile Collaboration with Atlassian	Consult collaboration and processes in context of Atlassian products.	Application Lifecycle Management	work	Methods & Organisationals	Professional Education
		Agile Leadership	TBD	Agile Management	build-up	Methods & Organisationals	Agile Methoden
		Agile Security	Method of how to (application) secure products in agile dev.	Security & Testing	build-up	Methods & Organisationals	Security
x		Agile Tooling / Atlassian: Klassisches Projekt-Management	TBD	Business Agility	work	Products & Tools	Agile Methoden
x		Agile Tooling / Atlassian: Multi-Project-Management	TBD	Business Agility	build-up	Products & Tools	Agile Methoden
		Akka Lightbend (Fast Data)	programming framework	Reactive	evaluate	Frameworks (Technical)	Software Development
		Alibaba Cloud	Cloud Provider	Cloud Beratung & IT-Architektur	observe	Platforms	Cloud
		AMBER	Architectural Modelling Box for Enterprise Redesign (Business Process Engineering)	EAM	observe	Concepts (Technical)	Architecture
		Android	Operating system and software development platform	Mobile Apps	work	Languages	Software Development
		Android Studio	DIE	Mobile Apps	work	Products & Tools	Software Development
		Angular	SPA framework	Angular	work	Languages	Software Development
		AngularJS	Initial/Old version of Angular	Web Technologies	reduce	Languages	Software Development
	54	API Gateways	API Gateways – also known as Edge Service – are a fundamental part of a cloud-native microservice architecture. They represent the central access point for all requests for the backend services.	Cloud Beratung & IT-Architektur	work	Concepts (Technical)	Cloud
	54	API Gateways	API Gateways – also known as Edge Service – are a fundamental part of a cloud-native microservice architecture. They represent the central access point for all requests for the backend services. 	Cloud Native Development	work	Concepts (Technical)	Cloud
		API Security Testing	Automated API security testing.	Security & Testing	evaluate	Concepts (Technical)	Security
x		Application Development Security	TBD	Security & Testing	build-up	Concepts (Technical)	Security
		Approval Testing	"Methodology, in context of test automation and CI/CD; interesting for ML."	Professional Agile Development	evaluate	Concepts (Technical)	Testing
		ArchiMate	"https://en.wikipedia.org/wiki/ArchiMate , we use and teach"	EAM	work	Concepts (Technical)	Architecture
		Atlassian App Development	Extend Atlassian products.	Application Lifecycle Management	evaluate	Platforms	Software Development
		Atlassian Produkt Beratung; Products and Tools	"Optimize Atlassian tool configurations according to customer needs, e.g. usability, performance, maintenance."	Application Lifecycle Management	work	Methods & Organisationals	Miscellaneous
x		Atlassian Produkte		Business Agility	work	Products & Tools	Miscellaneous
		AWS	Cloud Provider	Cloud Beratung & IT-Architektur	work	Platforms	Cloud
		Azure	Cloud Provider	Cloud Beratung & IT-Architektur	work	Platforms	Cloud
		bare cloud provider	"Native / using proprietary cloud services (e. g. AWS, Azure, Google)"	Cloud Native Development	work	Platforms	Cloud
		BDD (Behavior Driven Development)	Methodology; include business + developers/testers in test definition+execution; connection to business agility.	Professional Agile Development	work	Products & Tools	Testing
		Bilderkennung	"Classification, extraction. Use of CNNs."	Machine Learning	work	Concepts (Technical)	ML & AI
		BizzDesign Enterprise Studio	EAM repository and modeling tool	EAM	work	Products & Tools	Architecture
		Blockchain		Data-X	observe	Concepts (Technical)	Blockchain
	66	Blockchain	Find use cases.	Machine Learning	observe	Concepts (Technical)	Blockchain
		Blockchain Security	Using blockchain to secure applications.	Security & Testing	observe	Concepts (Technical)	Security
		Bluetooth Web	Web API for communicating with bluetooth devices	Web Technologies	evaluate	Frameworks (Technical)	Software Development
		BPEL	Business Process Execution Language - used e. g. by IBM and MS	BPM	reduce	Languages	BPM
		BPM + IoT	Apply process automation to IoT	BPM	evaluate	Concepts (Technical)	IoT
		BPM + ML	use Machine Learning conepts to improve automated processes	BPM	evaluate	Concepts (Technical)	ML & AI
		BPMN 2.0	Business Process Model and Notation - modeling and description language for automation	BPM	work	Languages	BPM
x		BPMS to seperate components	TBD	BPM	work	Concepts (Technical)	BPM
x		Business Agility		Business Agility	build-up	Methods & Organisationals	Agile Methoden
		Business Model Canvas	Business Process Engineering	EAM	evaluate	Concepts (Technical)	Agile Methoden
		C#	TBD	Unresolved	work	Languages	Software Development
x		Camunda	TBD	BPM	work	Products & Tools	BPM
		Camunda BPM	Lightweight Java based  process engine	BPM	work	Products & Tools	BPM
		Camunda Zeebe	Lightweight Java based  process engine based on distributed logs	BPM	evaluate	Products & Tools	Cloud
		Capability Based Planning	CPB is a TOGAF technique focusing on mapping capabilities and linking them to a strategy in EA; we use	EAM	work	Concepts (Technical)	Agile Methoden
x		Case Management 	TBD	BPM	evaluate	Concepts (Technical)	BPM
		Case Management 	Concept to model unstructured processes	BPM	observe	Concepts (Technical)	BPM
x		Central to distributed	TBD	BPM	work	Concepts (Technical)	BPM
	25	Cloud Migration	How do I migrate my existing applications into the cloud?	Professional Agile Development	work	Concepts (Technical)	Testing
		Cloud Native Application Development	How do I build cloud native apps from scratch	Cloud Beratung & IT-Architektur	work	Frameworks (Technical)	Cloud
		Cloud Native Application Platforms	"PaaS-Auswahl (CF, Kubernetes, …)"	Cloud Beratung & IT-Architektur	work	Platforms	Cloud
	25	Cloud-Migration	How do I migrate my existing applications into the cloud?	Cloud Beratung & IT-Architektur	work	Concepts (Technical)	Cloud
		Cloud-Native Testing	Workshop - how to do QE in cloud native SW Dev environments. Focus on test automation.	Professional Agile Development	work	Methods & Organisationals	Testing
		Cobit 5 (Monitoring)	TBD	Monitoring Management & Gouvernance	build-up	Methods & Organisationals	Compliance
		Cognitive Computing	Observe what's next.	Machine Learning	work	Concepts (Technical)	ML & AI
		Combine genetic algorithms and NNs	Alternative approach to train NNs.	Machine Learning	observe	Concepts (Technical)	ML & AI
		Consumer-Driven Contract Testing	Concept used in various projects; foster independent deployability	Professional Agile Development	work	Methods & Organisationals	Testing
		Container Security	"Secure docker, kubernetes, container."	Security & Testing	evaluate	Concepts (Technical)	Security
		Containerization	Apply and be active in community; train.	Application Lifecycle Management	work	Concepts (Technical)	Cloud
		Couchbase	TBD	Mobile Apps	work	Products & Tools	Software Development
		Cynefin 	Basic knowledge. Nice to know for our consultants.	Business Agility	observe	Methods & Organisationals	Agile Methoden
		Data Analytics	apply/use/implement data analytics for the customer	Data-X	build-up	Concepts (Technical)	Data Intelligence
		Data Augmentation	Generate more training data based on existing; use for ML purposes.	Machine Learning	work	Concepts (Technical)	ML & AI
		Datenbank-Training (Theorie)	TBD	Datenbanken	build-up	Concepts (Technical)	Professional Education
		DeepLearning4J	ML framework for Java.	Machine Learning	reduce	Frameworks (Technical)	ML & AI
x		Design Thinking	TBD	Business Agility	evaluate	Methods & Organisationals	Agile Methoden
		Design Thinking	Method to allow innovative product development.	Business Agility	observe	Concepts (Technical)	Agile Methoden
		Desktop Applications (Electron et al.)	Desktop native apps built with web technologies	Angular	evaluate	Products & Tools	Software Development
		DevOps (Deployment-Tooling)	"Apply at customer site, keep ourselves informed."	Application Lifecycle Management	work	Products & Tools	Software Development
		DevOps (Organisations-Prozesse)	Consult customers.	Business Agility	build-up	Methods & Organisationals	Software Development
		DevOps Monitoring	"Gather bus./techn. metrics to enable depl. scenarios like canary deployments (verification), …; bus. view -- does the new feature really help (higher conversion rate e.g.)?"	Professional Agile Development	work	Products & Tools	Testing
		Digital Workplace	Apply in projects.	Business Agility	build-up	Methods & Organisationals	Agile Methoden
		DMN (Decision Management Notation)	Define and execute business rules	BPM	work	Languages	BPM
		Domain Driven Design	Software craft; model software	Professional Agile Development	work	Methods & Organisationals	Architecture
		Eclipse MicroProfile	The MicroProfile is a baseline platform definition that optimizes Enterprise Java for a microservices architecture and cloud-native development with JEE (see https://microprofile.io/)	Cloud Native Development	evaluate	Concepts (Technical)	Software Development
		Edge Computing	TBD	IoT	observe	Concepts (Technical)	IoT
		Einsatz vortrainierter Netze	Know how to use; build our own repository.	Machine Learning	evaluate	Concepts (Technical)	ML & AI
x		ESP (Enterprise Services Planning)	TBD	Business Agility	evaluate	Methods & Organisationals	Agile Methoden
	130	Event Sourcing	"The fundamental idea of Event Sourcing is that of ensuring every change to the state of an application is captured in an event object, and that these event objects are themselves stored in the sequence they were applied for the same lifetime as the application  state itself. https://martinfowler.com/eaaDev/EventSourcing.html"	Cloud Beratung & IT-Architektur	evaluate	Concepts (Technical)	Architecture
	130	Event Sourcing und CQRS	Programming using ES and CQRS.	Spring	evaluate	Concepts (Technical)	Architecture
		Event Storming	DDD; apply in daily work.	Business Agility	build-up	Methods & Organisationals	Agile Methoden
		Event-Driven Architecture	"Event-driven architecture (EDA), is a software architecture pattern"	Cloud Beratung & IT-Architektur	work	Concepts (Technical)	Architecture
		Feature Toggles	TBD	Mobile Apps	work	Concepts (Technical)	Software Development
		Flapper	TBD	Mobile Apps	work	Products & Tools	Software Development
